Norfa,Veisiejai,"Dariaus ir Girėno g. 13"
Grūstė,Vilnius,"Žirmūnų g. 84"
Gausa,Klaipėda,"Taikos pr. 8A"
"Express Market",Vilnius,"Žirmūnų g. 48A"
Maxima,Švenčionėliai,"Priestočio g.6"
Maxima,Giraitė,"Automagistralės g. 4"
IKI,Kėdainiai,"P. Lukšio g. 1A"
Maxima,Palanga,"Klaipėdos pl. 42"
Kubas,Šiauliai,"Draugystės pr. 2"
"Pašto skyrius",Linkuva,"Vienybės a. 7"
Maxima,Skaidiškės,"Rudaminos g. 29"
Maxima,Kaunas,"Veiverių g. 150B"
Maxima,Vilnius,"Lazdynėlių g. 23"
Maxima,Jonava,"Plento g. 3"
Maxima,"Kazlų Rūda","M.Valančiaus g. 7"
"Rimi Zujūnai",Antežeriai,"Žirgų g. 24"
Papartis,Ukmergė,"Vasario 16-osios g. 30"
Norfa,Druskininkai,"Leipalingio g. 1"
"DNC maisto prekės",Prienai,"J.Basanavičiaus g. 15"
Maxima,Tauragė,"Šlaito g. 1"
Norfa,Kaišiadorys,"Gedimino g. 140"
Tehasas,Kupiškis,"Vytauto g. 41"
"IKI ",Šilalė,"J. Basanavičiaus g. 21"
"Pašto skyrius",Vilnius,"Antakalnio g. 75"
Aibė,Tytuvėnai,"J. Basanavičiaus g. 1 "
IKI,Visaginas,"Parko g. 7B-6"
IKI,Šilutė,"Dariaus ir Girėno g. 11"
Norfa,Plungė,"Dariaus ir Girėno g. 54"
Grūstė-26,Mažeikiai,"Mažeikių 100-mečio g. 2"
Norfa,Trakai,"Vilniaus g. 15C"
"Žirnis Aibė",Žagarė,"Miesto a. 8"
Norfa,Anykščiai,"Vilniaus g. 22"
"Žirnis Aibė",Radviliškis,"Turgaus g. 12"
"Senasis Šilas ",Kelmė,"Kęstučio g. 1D"
IKI,Vilnius,"Vaduvos g. 4"
"Maisto ir pramonės prekės",Pilviškiai,"Vasario 16-osios g. 16"
"Rimi Galgiai",Vilnius,"Žvaigždikių g. 2"
Norfa,Grigiškės,"Kovo 11-osios g. 71"
Norfa,Alytus,"Jurgiškių g. 2"
"Rimi Klipščiai",Klaipėda,"Žaliakelio g. 1"
"Rimi Baltijos",Kaunas,"Baltijos g. 58"
"Express Market",Vilnius,"Pelesos g. 57"
Rimi,Jonava,"Vasario 16 - osios g. 4"
Moki-veži,Narsiečiai,"Vytauto g. 183"
Norfa,Panevėžys,"Vasario 16-osios g. 55"
Grūstė,Viekšniai,"Tilto g. 14"
"Čia Market",Švėkšna,"Liepų a. 9"
Aibė,Gargždai,"Pušų g. 40"
Norfa,Plungė,"Kalniškių g.18"
Norfa,Mažeikiai,"Sedos g. 53"
Norfa,Panevėžys,"Molainių g. 11"
Norfa,Šiauliai,"Gumbinės g. 145A"
"Pašto skyrius",Elektrėnai,"Trakų g. 4"
"Pašto skyrius",Ignalina,"Laisvės g. 64"
Norfa,Širvintos,"Zibalų g. 11"
Lakaja,Švenčionys,"Vilniaus g. 8"
Norfa,Šakiai,"Šaulių g. 49"
Šilas,Kaunas,"A. Šapokos g. 38"
"Čia Market",Telšiai,"Dariaus ir Girėno g. 11"
Aukštakalnis,Utena,"Taikos g. 2 "
" Rašė",Utena,"Vaižganto g. 17"
Elimart,Joniškis,"V.Kudirkos g. 87"
Vigosa,Raseiniai,"Jaunimo g. 14"
"Express Market",Kaunas,"Kleboniškio g. 27 B"
LIDL,Vilnius,"Gariūnų g. 66"
"Express Market",Vilnius,"L.Sapiegos g. 1C"
"Rimi Kretinga",Kretinga,"Šventosios g. 27B"
Maxima,Ariogala,"Taurupio g. 15A"
"Rimi Alytus",Alytus,"Ūdrijos g. 1"
Lidl,Vilnius,"Pramonės g. 17A"
"Pašto skyrius",Eišiškės,"Gegužės a. 18"
"Norfa ",Vilnius,"Zujūnų g. 1"
"IKI Lozoraičio",Garliava,"S. Lozoraičio g. 2"
Maxima,Vilnius,"Moravų g. 7"
"Maxima Avižieniai",Vilnius,"Saulės g. 1"
"Rimi Ringaudai",Kaunas,"Varžupio g. 1"
Aibė,Gargždai,"Vasarios 16-osios g.45"
Maxima,Kaunas,"Rokų g. 17"
"Pašto skyrius",Šalčininkai,"Vilniaus g. 61"
Maxima,Širvintos,"I.Šeiniaus g. 19"
"Rimi Studentų",Kaunas,"Studentų g. 19"
"Rimi Krėvės",Kaunas,"V. Krėvės pr.  43A"
"Verslo namai Paupys",Vilnius,"Aukštaičių g. 7"
IKI,Birštonas,"S. Dariaus ir S. Girėno g. 24"
LIDL,Vilnius,"S. Stanevičiaus g. 2A"
IKI,Rokiškis,"Panevėžio g. 16"
IKI,Jurbarkas,"Dariaus ir Girėno g. 25"
IKI,Rudamina,"Gamyklos g.26"
IKI,Pagiriai,"Durpių g. 40"
Maxima,Rumšiškės,"L. Lekavičiaus g. 32"
LIDL,Kėdainiai,"J.Basanavičiaus g. 87B"
IKI,Klaipėda,"Priestočio g. 24"
LIDL,Vilnius,"J. Tiškevičiaus g. 17"
LIDL,Vilnius,"Žirmūnų g. 67"
"Rimi Tarandė",Vilnius,"Vaivadiškių g. 2"
IKI,Ukmergė,"Vilniaus g. 62"
LIDL,Vilkaviškis,"Vytauto g. 77"
LIDL,Šiauliai,"Tilžės g. 3"
LIDL,Šiauliai,"Tilžės g. 217"
"IKI Naikupė",Klaipėda,"Nidos g. 5"
" Pepco",Klaipėda,"H. Manto g. 36"
LIDL,Plungė,"J.Tumo-Vaižganto g. 110"
LIDL,Kaunas,"Baltų pr. 10"
LIDL,Ukmergė,"Vytauto g. 111A"
LIDL,Vilnius,"Rasų g. 9A"
LIDL,Marijampolė,"Žemaitės g. 22"
LIDL,Marijampolė,"Palangos g. 22"
LIDL,Jonava,"Žemaitės g. 3"
LIDL,Vilnius,"Kapsų g. 1"
LIDL,Vilnius,"Kalvarijų g.  180"
LIDL,Telšiai,"Luokės g. 74A"
LIDL,Panevėžys,"Kosmonautų g.14 "
